column_name,description
_STATE,State FIPS Code
_GEOSTR,Geographic Stratum Code
_DENSTR2,Household Density Stratum Code
PRECALL,Pre-Call Status Code
SECSCRFL,Secondary Screening Flags
REPNUM,Replicate Number
REPDEPTH,Replicate Depth
FMONTH,File Month
IDATE,Interview Date
IMONTH,Interview Month
IDAY,Interview Day
IYEAR,Interview Year
INTVID,Interviewer Identification
DISPCODE,Final Disposition
SEQNO,Annual Sequence Number
_PSU,Primary Sampling Unit (Equal to Annual Sequence Number)
NATTMPTS,Number of Attempts
NRECSEL,Number of Sample Records Selected from Stratum
NRECSTR,Number of Telephone Numbers in Stratum from Which Sample Was Selected
CTELENM1,Is this [PHONE NUMBER]?
PVTRESD1,Is this a private residence?
COLGHOUS,Do you live in college housing?
STATERE1,Do you currently live in__Ohio____?
CELPHONE,Is this a cell phone?
LADULT1,Are you 18 years of age or older?
COLGSEX,Are you male or female?
NUMADULT,"I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home, such as students away at college, how many members of your household, including yourself, are 18 years of age or older?"
LANDSEX,Are you male or female?
NUMMEN,How many of these adults are men?
NUMWOMEN,So the number of women in the household is [X]. Is that correct?
RESPSLCT,The person in your household that I need to speak with is [Oldest/Youngest / Middle//Male /Female]. Are you the [Oldest/Youngest / Middle//Male /Female] in this household?
SAFETIME,Is this a safe time to talk with you?
CTELNUM1,Is this (phone number) ?
CELLFON5,Is this a cell phone?
CADULT1,Are you 18 years of age or older?
CELLSEX,Are you male or female?
PVTRESD3,Do you live in a private residence?
CCLGHOUS,Do you live in college housing?
CSTATE1,Do you currently live in___Ohio____?
RSPSTAT1,In what state do you currently live?
LANDLINE,Do you also have a landline telephone in your home that is used to make and receive calls?
HHADULT,"How many members of your household, including yourself, are 18 years of age or older?"
SEXVAR,Sex of Respondent
GENHLTH,Would you say that in general your health is—
PHYSHLTH,"Now thinking about your physical health, which includes physical illness and injury, for how many days during"
MENTHLTH,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how"
POORHLTH,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your"
HLTHPLN1,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or"
PERSDOC2,Do you have one person you think of as your personal doctor or health care provider?
MEDCOST,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?
CHECKUP1,About how long has it been since you last visited a doctor for a routine checkup?
EXERANY2,"During the past month, other than your regular job, did you participate in any physical activities or exercises such"
SLEPTIM1,"On average, how many hours of sleep do you get in a 24‐hour period?"
CVDINFR4,"(Ever told) you had a heart attack, also called a myocardial infarction?"
CVDCRHD4,(Ever told) (you had) angina or coronary heart disease?
CVDSTRK3,(Ever told) (you had) a stroke.
ASTHMA3,(Ever told) (you had) asthma?
ASTHNOW,Do you still have asthma?
CHCSCNCR,(Ever told) (you had) skin cancer?
CHCOCNCR,(Ever told) (you had) any other types of cancer?
CHCCOPD2,"(Ever told) (you had) chronic obstructive pulmonary disease, C.O.P.D., emphysema or chronic bronchitis?"
HAVARTH4,"(Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses include:"
ADDEPEV3,"(Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?"
CHCKDNY2,"Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?"
DIABETE4,"(Ever told) (you had) diabetes? (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´."
DIABAGE3,How old were you when you were told you have diabetes?
